CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
CALI;APM;1282;13-jun.-16;CARTONES AMERICA S.A.;1.661.000;1.926.760;60;14-ago-16;18-ago.-16;15-jun-16;SANDPIPER;PAGADA AGOSTO;;
BARRANQUILLA;HJS;1283;13-jun.-16;LABORATORIOS RETY DE COLOMBIA S.A.;929.436;1.078.146;60;14-ago-16;15-ago.-16;15-jun-16;SANDPIPER;PAGADA AGOSTO;;
BARRANQUILLA;HJS;1284;13-jun.-16;CONTELEMEC S.A.S.;3.474.700;4.030.652;30;15-jul-16;10-ago.-16;15-jun-16;OTROS;PAGADA AGOSTO;;
BOGOTA;MAV;1285;13-jun.-16;SOLUCIONES ENERGETICAS FLUIDOS E INGENIERIA COLOMBIANA;192.000;222.720;0;13-jun-16;18-jul.-16;13-jun-16;SANDPIPER;PAGADA JULIO;;
MEDELLIN;JGG;1286;15-jun.-16;SUMINISTROS DE COLOMBIA S.A.S.;1.100.568;1.276.659;60;16-ago-16;25-ago.-16;17-jun-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;JGG;1287;15-jun.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;231.350;268.366;60;16-ago-16;22-ago.-16;17-jun-16;SANDPIPER;PAGADA AGOSTO;;
MEDELLIN;JGG;1288;16-jun.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;4.584.300;5.317.788;60;16-ago-16;25-ago.-16;17-jun-16;OTROS;PAGADA AGOSTO;;
BOGOTA;JFA;1289;17-jun.-16;CONFUTRONICS LTDA.;7.621.721;8.841.196;0;17-jun-16;16-jun.-16;17-jun-16;VIKING;PAGADA JUNIO;;
MANIZALES;JGG;1290;17-jun.-16;TECNOLOGIA EN CUBRIMIENTO S.A.;500.000;580.000;30;20-jul-16;21-jul.-16;20-jun-16;OTROS;PAGADA JULIO;;
MEDELLIN;RGC;1291;17-jun.-16;ALIMENTOS FINCA S.A.S.;26.057.322;30.226.494;30;20-jul-16;14-jul.-16;20-jun-16;VIKING;PAGADA JULIO;;
MEDELLIN;RGC;1292;20-jun.-16;SUMINISTROS DE COLOMBIA S.A.S.;1.264.880;1.467.261;60;21-ago-16;25-ago.-16;22-jun-16;SANDPIPER;PAGADA AGOSTO;;
CARTAGENA;HJS;1293;20-jun.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;1.961.868;2.275.767;60;21-ago-16;7-sep.-16;22-jun-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CARTAGENA;HJS;1294;20-jun.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;295.060;342.270;60;21-ago-16;7-sep.-16;22-jun-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CARTAGENA;HJS;1295;20-jun.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;3.609.596;4.187.131;60;21-ago-16;7-sep.-16;22-jun-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1296;22-jun.-16;MASTER CONTROLS LTDA.;698.811;810.621;0;22-jun-16;CRUZADA;22-jun-16;OTROS;PAGADA JULIO;;
CALI;APM;1297;22-jun.-16;FERRONEUMATICA;1.900.000;2.204.000;30;24-jul-16;26-ago.-16;24-jun-16;SANDPIPER;PAGADA AGOSTO;;
MEDELLIN;JGG;1298;22-jun.-16;SUMINISTROS DE COLOMBIA S.A.S.;1.095.400;1.270.664;60;23-ago-16;25-ago.-16;24-jun-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;JGG;1299;22-jun.-16;ITALCOL S.A.;3.226.200;3.742.392;30;24-jul-16;26-jul.-16;24-jun-16;VIKING;PAGADA JULIO;;
MANIZALES;RGC;1300;23-jun.-16;TABLEMAC S.A.;494.602;573.738;30;24-jul-16;8-ago.-16;24-jun-16;VIKING;PAGADA AGOSTO;;
CALI;APM;1301;23-jun.-16;CARTONERA NACIONAL S.A.;72.600;84.216;60;26-ago-16;30-sep.-16;27-jun-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1302;23-jun.-16;AMTEX S.A.;562.188;652.138;60;26-ago-16;25-ago.-16;27-jun-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;MAV;1303;23-jun.-16;SOLLA S.A.;1.010.000;1.171.600;30;27-jul-16;27-jul.-16;27-jun-16;HIDROMAC;PAGADA JULIO;;
BOGOTA;JGG;1304;23-jun.-16;COOPERATIVA COLANTA LTDA.;1.955.600;2.268.496;45;11-ago-16;16-ago.-16;27-jun-16;OTROS;PAGADA AGOSTO;;
MEDELLIN;RGC;1305;23-jun.-16;EMPACOR S.A.;1.609.280;1.866.765;0;23-jun-16;30-jun.-16;23-jun-16;PUMPER PARTS;PAGADA JULIO;;
BOGOTA;JGG;1306;24-jun.-16;FABRICA NACIONAL DE GRASAS S.A.S.;3.759.000;4.360.440;30;27-jul-16;15-jul.-16;27-jun-16;OTROS;PAGADA JULIO;;
MEDELLIN;RGC;1307;24-jun.-16;PROCTER & GAMBLE INDUSTRIAL COLOMBIA LTDA.;13.463.629;15.617.810;75;10-sep-16;12-sep.-16;27-jun-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1308;24-jun.-16;SETEFER LTDA;1.092.369;1.267.148;30;24-jul-16;29-jul.-16;24-jun-16;OTROS;PAGADA JULIO;;
BOGOTA;JFA;1309;27-jun.-16;PACKING S.A.;179.800;208.568;60;28-ago-16;26-ago.-16;29-jun-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;JGG;1310;28-jun.-16;SUMINISTROS DE COLOMBIA S.A.S.;3.573.834;4.145.647;60;30-ago-16;12-sep.-16;1-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1311;28-jun.-16;INGEBOMBAS LTDA.;2.215.698;2.570.210;30;29-jul-16;25-ago.-16;29-jun-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1312;1-jul.-16;SUMINISTROS DE COLOMBIA S.A.S.;983.100;1.140.396;60;30-ago-16;12-sep.-16;1-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1313;1-jul.-16;MASTER CONTROLS LTDA.;653.641;758.224;0;1-jul-16;CRUZADA;1-jul-16;OTROS;PAGADA JULIO;;
MEDELLIN;RGC;1314;1-jul.-16;TABLEMAC S.A.;1.537.000;1.782.920;30;4-ago-16;16-ago.-16;5-jul-16;VIKING;PAGADA AGOSTO;;
BOGOTA;JGG;1315;1-jul.-16;ITALCOL S.A.;7.923.600;9.191.376;30;4-ago-16;17-ago.-16;5-jul-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1316;1-jul.-16;INDUSTRIAS ALIMENTICIAS AVINKY S.A.S.;1.600.500;1.856.580;0;1-jul-16;DEVUELTA;1-jul-16;PFCUSA;PAGADA JULIO;;
BOGOTA;JGG;1317;5-jul.-16;CHEVRON PETROEUM COMPANY;1.195.950;1.387.302;30;4-ago-16;4-ago.-16;5-jul-16;VIKING;PAGADA AGOSTO;;
BOGOTA;JFA;1318;5-jul.-16;UNION TEMPORAL ISMOCOL JOSHI PARKO UT-IJP;1.579.000;1.831.640;30;4-ago-16;17-ago.-16;5-jul-16;OTROS;PAGADA AGOSTO;;
MEDELLIN;RGC;1319;5-jul.-16;LANDERS Y CIA S.A.S.;3.653.600;4.238.176;30;6-ago-16;14-oct.-16;7-jul-16;HIDROMAC;PAGADA OCTUBRE;;
BUCARAMANGA;MAV;1320;5-jul.-16;ORGANIZACIÓN TERPEL S.A.;24.104.871;27.961.650;30;6-ago-16;9-ago.-16;7-jul-16;VIKING;PAGADA AGOSTO;;
BOGOTA;JGG;1321;5-jul.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;1.376.500;1.376.500;45;21-ago-16;28-sep.-16;7-jul-16;OTROS;PAGADA SEPTIEMBRE;;
BOGOTA;JFA;1322;6-jul.-16;UNION TEMPORAL ISMOCOL JOSHI PARKO UT-IJP;6.497.600;7.537.216;30;7-ago-16;17-ago.-16;8-jul-16;VIKING;PAGADA AGOSTO;;
MANIZALES;JFA;1323;6-jul.-16;STEPAN COLOMBIA S.A.S.;7.004.780;8.125.545;30;7-ago-16;12-ago.-16;8-jul-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1324;7-jul.-16;EUROCERAMICA S.A.;411.744;477.623;30;7-ago-16;19-ago.-16;8-jul-16;SANDPIPER;PAGADA AGOSTO;;
CALI;APM;1325;8-jul.-16;CARTONERA NACIONAL S.A.;58.800;68.208;60;9-sep-16;14-oct.-16;11-jul-16;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;RGC;1326;8-jul.-16;TABLEMAC S.A.;348.378;404.118;30;10-ago-16;22-ago.-16;11-jul-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1327;8-jul.-16;C.I LEONISA S.A;2.919.294;3.386.381;30;10-ago-16;12-ago.-16;11-jul-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;MAV;1328;8-jul.-16;MEJIA Y CIA. S.A.;4.775.088;5.539.102;0;8-jul-16;7-jul.-16;8-jul-16;VIKING;PAGADA JULIO;;
BOGOTA;JGG;1329;8-jul.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;3.245.600;3.764.896;45;25-ago-16;29-sep.-16;11-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1330;11-jul.-16;PRODUCCIONES QUIMICAS S.A.;2.033.910;2.359.336;30;10-ago-16;6-sep.-16;11-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1331;11-jul.-16;MASTER CONTROLS LTDA.;1.367.250;1.586.010;0;13-jul-16;CRUZADA;13-jul-16;SANDPIPER;PAGADA JULIO;;
BOGOTA;LRL;1332;11-jul.-16;MASTER CONTROLS LTDA.;2.150.965;2.495.119;0;13-jul-16;CRUZADA;13-jul-16;SANDPIPER;PAGADA JULIO;;
BOGOTA;JGG;1333;12-jul.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;525.500;609.580;45;28-ago-16;29-sep.-16;14-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CALI;APM;1334;12-jul.-16;CARTONERA NACIONAL S.A.;3.390.000;3.932.400;60;12-sep-16;14-oct.-16;14-jul-16;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;RGC;1335;13-jul.-16;PROCTER & GAMBLE INDUSTRIAL COLOMBIA LTDA.;989.134;1.147.395;75;28-sep-16;26-sep.-16;15-jul-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1336;13-jul.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;3.392.475;3.935.271;60;13-sep-16;26-sep.-16;15-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1337;13-jul.-16;HIDROCARBUROS DEL CASANARE S.A.S.;1.321.344;1.532.759;0;15-jul-16;15-jul.-16;15-jul-16;SANDPIPER;PAGADA JULIO;;
MEDELLIN;JGG;1338;13-jul.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;814.554;944.883;60;13-sep-16;26-sep.-16;15-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1339;13-jul.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;2.889.436;3.351.746;60;13-sep-16;26-sep.-16;15-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1340;14-jul.-16;PROQUINAL S.A.;1.292.000;1.498.720;60;13-sep-16;15-sep.-16;15-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1341;14-jul.-16;PROQUINAL S.A.;1.128.800;1.309.408;60;13-sep-16;15-sep.-16;15-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1342;14-jul.-16;EUROCERAMICA S.A.;786.492;912.331;30;17-ago-16;26-ago.-16;18-jul-16;SANDPIPER;PAGADA AGOSTO;;
BUCARAMANGA;MAV;1343;15-jul.-16;FRESKALECHE S.A.;1.665.013;1.931.415;30;17-ago-16;25-ago.-16;18-jul-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;JGG;1344;15-jul.-16;COMPAÑÍA LECHERA DE EL MORTIÑO LIMITADA COML;1.338.600;1.552.776;30;17-ago-16;20-ago.-16;18-jul-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;MAV;1345;15-jul.-16;PRESH TECH;19.099.340;22.155.234;30;17-ago-16;25-ago.-16;18-jul-16;SANDPIPER;PAGADA AGOSTO;;
CARTAGENA;HJS;1346;15-jul.-16;KNAUF DE COLOMBIA S.A.S.;1.540.458;1.786.931;60;16-sep-16;18-nov.-16;18-jul-16;SANDPIPER;PAGADA NOVIEMBRE;;
BOGOTA;MAV;1347;15-jul.-16;PHARMETIQUE S.A.;6.264.140;7.266.402;30;17-ago-16;25-ago.-16;18-jul-16;SANDPIPER;PAGADA AGOSTO;;
BOGOTA;JGG;1348;18-jul.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;3.082.150;3.575.294;45;2-sep-16;29-sep.-16;19-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1349;19-jul.-16;AMTEX S.A.;3.232.805;3.750.054;60;19-sep-16;23-sep.-16;21-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1350;19-jul.-16;SMURFIT KAPPA CARTON COLOMBIA S.A.;653.958;758.591;60;19-sep-16;7-oct.-16;21-jul-16;SANDPIPER;PAGADA OCTUBRE;;
CARTAGENA;HJS;1351;21-jul.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;3.052.954;3.541.427;60;23-sep-16;22-sep.-16;25-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CARTAGENA;HJS;1352;21-jul.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;562.180;652.129;60;23-sep-16;22-sep.-16;25-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CARTAGENA;HJS;1353;21-jul.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;32.242;37.401;60;23-sep-16;22-sep.-16;25-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CARTAGENA;HJS;1354;21-jul.-16;MEXICHEM RESINAS COLOMBIA S.A.S.;2.732.340;3.169.514;60;23-sep-16;22-sep.-16;25-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
;;1355;;ANULADA;;;;;;;;;;
MEDELLIN;RGC;1356;22-jul.-16;TABLEMAC S.A.;354.660;411.406;30;24-ago-16;5-sep.-16;25-jul-16;VIKING;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1357;22-jul.-16;C.I LEONISA S.A;2.865.131;3.323.552;30;24-ago-16;26-ago.-16;25-jul-16;VIKING;PAGADA AGOSTO;;
;;1358;;ANULADA;;;;;;;;;;
CALI;APM;1359;22-jul.-16;SMURFIT KAPPA CARTON COLOMBIA S.A.;9.700.000;11.252.000;60;23-sep-16;7-oct.-16;25-jul-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;MAV;1360;25-jul.-16;ALIMENTOS DEL JARDIN S.A.;1.468.000;1.702.880;30;25-ago-16;16-ene.-17;26-jul-16;SANDPIPER;PAGADA ENERO;;
CALI;APM;1361;25-jul.-16;TRIADA EMA S.A. SUCURSAL COLOMBIA;1.370.000;1.589.200;45;9-sep-16;12-oct.-16;26-jul-16;OTROS;PAGADA OCTUBRE;;
MEDELLIN;RGC;1362;25-jul.-16;EUROCERAMICA S.A.;972.914;1.128.580;30;26-ago-16;2-sep.-16;27-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CALI;APM;1363;25-jul.-16;INGENIO SAN CARLOS S.A.;3.727.250;4.323.610;60;25-sep-16;30-sep.-16;27-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1364;25-jul.-16;EUROCERAMICA S.A.;153.757;178.358;30;26-ago-16;2-sep.-16;27-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BUCARAMANGA;MAV;1365;27-jul.-16;FRESKALECHE S.A.;1.699.441;1.971.352;30;28-ago-16;30-ago.-16;29-jul-16;SANDPIPER;PAGADA AGOSTO;;
MEDELLIN;RGC;1366;27-jul.-16;EUROCERAMICA S.A.;535.140;620.762;30;28-ago-16;2-sep.-16;29-jul-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1367;28-jul.-16;SUMINISTROS DE COLOMBIA S.A.S.;8.697.006;10.088.527;60;3-oct-16;10-oct.-16;4-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1368;1-ago.-16;CHEVRON PETROEUM COMPANY;15.939.247;18.489.527;30;31-ago-16;25-ago.-16;1-ago-16;VIKING;PAGADA AGOSTO;;
BOGOTA;JGG;1369;1-ago.-16;ITALCOL S.A.;4.121.297;4.780.705;30;2-sep-16;22-ago.-16;3-ago-16;VIKING;PAGADA AGOSTO;;
BOGOTA;JGG;1370;1-ago.-16;COMPAÑÍA NACIONAL DE CHOCOLATES S.A.S.;164.000;190.240;30;31-ago-16;2-sep.-16;1-ago-16;OTROS;PAGADA SEPTIEMBRE;;
BUCARAMANGA;JGG;1371;1-ago.-16;AGROPECUARIA ALIAR S.A.;5.721.000;6.636.360;30;2-sep-16;5-oct.-16;3-ago-16;VIKING;PAGADA OCTUBRE;;
CALI;APM;1372;1-ago.-16;TRIADA EMA S.A. SUCURSAL COLOMBIA;4.110.000;4.767.600;45;17-sep-16;19-oct.-16;3-ago-16;OTROS;PAGADA OCTUBRE;;
BOGOTA;JGG;1373;1-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;649.450;753.362;60;2-oct-16;10-oct.-16;3-ago-16;OTROS;PAGADA OCTUBRE;;
BOGOTA;JGG;1374;1-ago.-16;MOFFATT S.A.S.;1.669.561;1.936.691;30;31-ago-16;01/08/16 y 21/10/16;1-ago-16;SANDPIPER;PAGADA OCTUBRE;;
MANIZALES;RGC;1375;2-ago.-16;TABLEMAC S.A.;24.128.587;27.989.161;30;2-sep-16;12-sep.-16;3-ago-16;VIKING;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1376;2-ago.-16;TABLEMAC S.A.;2.441.590;2.832.244;30;3-sep-16;12-sep.-16;4-ago-16;VIKING;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1377;2-ago.-16;COLORQUIMICA S.A.;496.344;575.759;30;3-sep-16;2-sep.-16;4-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
;;1378;;ANULADA;;;;;;;;;;
BOGOTA;JFA;1379;2-ago.-16;ORCO S.A.S.;7.449.428;8.641.336;30;3-sep-16;12-sep.-16;4-ago-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;JFA;1380;2-ago.-16;ORCO S.A.S.;550.069;638.080;30;3-sep-16;12-sep.-16;4-ago-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1381;3-ago.-16;PRODUCCIONES QUIMICAS S.A.;1.674.000;1.941.840;30;3-sep-16;6-sep.-16;4-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1382;3-ago.-16;ITALCOL S.A.;2.420.000;2.807.200;30;4-sep-16;9-sep.-16;5-ago-16;OTROS;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1383;3-ago.-16;SUMINISTROS DE COLOMBIA S.A.S.;455.000;527.800;60;4-oct-16;10-oct.-16;5-ago-16;OTROS;PAGADA OCTUBRE;;
BOGOTA;JGG;1384;3-ago.-16;CERAMICA SAN LORENZO INDUSTRIAL DE COLOMBIA;780.000;904.800;45;19-sep-16;11-oct.-16;5-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;MAV;1385;3-ago.-16;HERMIEQUIPOS Y BOMBAS S.A.S.;512.986;595.064;0;3-ago-16;2-ago.-16;3-ago-16;VIKING;PAGADA AGOSTO;;
BUCARAMANGA;JFA;1386;3-ago.-16;G & M CONSTRUCCIONES S.A.;8.015.500;9.297.980;0;5-ago-16;2-ago.-16;5-ago-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1387;3-ago.-16;C.I LEONISA S.A;3.015.402;3.497.866;30;4-sep-16;16-sep.-16;5-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
CALI;APM;1388;3-ago.-16;FOCUS PROYECTOS E INGENIERIA S.A.;350.500;406.580;30;3-sep-16;30-nov.-16;4-ago-16;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;RGC;1389;4-ago.-16;TABLEMAC S.A.;4.935.408;5.725.073;30;4-sep-16;19-sep.-16;5-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1390;4-ago.-16;INVESA S.A.;423.600;491.376;60;4-oct-16;7-oct.-16;5-ago-16;OTROS;PAGADA OCTUBRE;;
MEDELLIN;RGC;1391;4-ago.-16;INDUSTRIAS HACEB S.A.;1.741.100;2.019.676;30;4-sep-16;21-oct.-16;5-ago-16;OTROS;PAGADA OCTUBRE;;
MEDELLIN;RGC;1392;4-ago.-16;RODRIGUEZ Y LONDOÑO S. A.;21.760.250;25.241.890;0;5-ago-16;04/08/16 y 05/08/16;5-ago-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;JGG;1393;5-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;967.000;1.121.720;60;7-oct-16;10-oct.-16;8-ago-16;PUMPER PARTS;PAGADA OCTUBRE;;
BOGOTA;JFA;1394;8-ago.-16;SOTEING SAS SOLUCIONES TECNICAS EN INGENIERIA;3.362.860;3.900.918;0;8-ago-16;5-ago.-16;8-ago-16;VIKING;PAGADA AGOSTO;;
MEDELLIN;RGC;1395;8-ago.-16;PROCTER & GAMBLE INDUSTRIAL COLOMBIA LTDA.;13.463.629;15.617.810;75;24-oct-16;24-oct.-16;10-ago-16;VIKING;PAGADA OCTUBRE;;
MEDELLIN;RGC;1396;8-ago.-16;SMURFIT KAPPA CARTON COLOMBIA S.A.;2.895.000;3.358.200;60;9-oct-16;7-oct.-16;10-ago-16;HIDROMAC;PAGADA OCTUBRE;;
BARRANQUILLA;HJS;1397;8-ago.-16;PRODUCTOS QUIMICOS PANAMERICANOS S.A.;7.212.800;8.366.848;30;9-sep-16;9-sep.-16;10-ago-16;HIDROMAC;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1398;8-ago.-16;PAPELES Y CARTONES S.A.;614.712;713.066;60;9-oct-16;7-oct.-16;10-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1399;9-ago.-16;ALIMENTOS FINCA S.A.S.;12.589.447;14.603.759;30;9-sep-16;2-sep.-16;10-ago-16;VIKING;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1400;9-ago.-16;SULFOQUIMICA S.A.;1.281.512;1.486.554;60;9-oct-16;30-sep.-16;10-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1401;10-ago.-16;COMPAÑÍA LECHERA DE EL MORTIÑO LIMITADA COML;330.000;382.800;30;10-sep-16;13-dic.-16;11-ago-16;OTROS;PAGADA DICIEMBRE;;
MEDELLIN;RGC;1402;10-ago.-16;EUROCERAMICA S.A.;4.588.280;5.322.405;30;15-sep-16;9-sep.-16;16-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1403;11-ago.-16;EUROCERAMICA S.A.;1.658.272;1.923.596;30;15-sep-16;16-sep.-16;16-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1404;11-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;11.045.416;12.812.683;60;15-oct-16;10-oct.-16;16-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1405;11-ago.-16;CHEVRON PETROEUM COMPANY;15.939.247;18.489.527;30;15-sep-16;8-sep.-16;16-ago-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1406;11-ago.-16;CHEVRON PETROEUM COMPANY;4.428.500;5.137.060;30;15-sep-16;8-sep.-16;16-ago-16;VIKING;PAGADA SEPTIEMBRE;;
BUCARAMANGA;LRL;1407;12-ago.-16;ESSI ELECTRICIDAD Y SERVICIOS INDUSTRIALES S.A.S.;1.859.000;2.156.440;0;16-ago-16;10-ago.-16;16-ago-16;SANDPIPER;PAGADA AGOSTO;;
BUCARAMANGA;MAV;1408;12-ago.-16;FRESKALECHE S.A.;1.675.428;1.943.496;30;15-sep-16;13-oct.-16;16-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1409;16-ago.-16;BAVARIA S.A.;4.306.830;4.995.923;30;1-oct-16;7-dic.-16;1-sep-16;VIKING;PAGADA DICIEMBRE;;
BOGOTA;LRL;1410;16-ago.-16;C & M INGENIERIA Y SUMINISTROS S.A.S.;1.100.000;1.276.000;0;16-ago-16;20-ago.-16;16-ago-16;OTROS;PAGADA AGOSTO;;
BOGOTA;JGG;1411;17-ago.-16;PRODUCTOS QUIMICOS PANAMERICANOS S.A.;355.750;412.670;30;17-sep-16;23-sep.-16;18-ago-16;HIDROMAC;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1412;17-ago.-16;CERVECERIA UNION S.A.;4.437.441;5.147.432;30;17-sep-16;2-nov.-16;18-ago-16;OTROS;PAGADA NOVIEMBRE;;
MEDELLIN;RGC;1413;17-ago.-16;COMPAÑÍA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS;832.998;966.278;30;17-sep-16;9-sep.-16;18-ago-16;OTROS;PAGADA SEPTIEMBRE;;
CALI;APM;1414;17-ago.-16;INGENIO SAN CARLOS S.A.;3.159.705;3.665.258;60;18-oct-16;14-oct.-16;19-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1415;17-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;124.700;144.652;60;18-oct-16;25-oct.-16;19-ago-16;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;JGG;1416;17-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;802.211;930.565;60;18-oct-16;25-oct.-16;19-ago-16;SANDPIPER;PAGADA OCTUBRE;;
BOGOTA;JGG;1417;17-ago.-16;CIA COLOMBIANA DE CERAMICA S.A.S.;747.000;866.520;60;18-oct-16;25-oct.-16;19-ago-16;SANDPIPER;PAGADA OCTUBRE;;
MEDELLIN;RGC;1418;17-ago.-16;COLORQUIMICA S.A.;87.280;101.245;30;18-sep-16;23-sep.-16;19-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1419;17-ago.-16;FARMATECH S.A.;767.444;890.235;30;18-sep-16;27-jul.-16;19-ago-16;SANDPIPER;PAGADA AGOSTO;;
;;1420;;ANULADA;;;;;;;;;;
MEDELLIN;RGC;1421;17-ago.-16;EUROCERAMICA S.A.;986.322;1.144.134;30;18-sep-16;23-sep.-16;19-ago-16;SANDPIPER;PAGADA SEPTIEMBRE;;
MEDELLIN;RGC;1422;17-ago.-16;COMPAÑÍA NACIONAL DE CHOCOLATES S.A.S.;1.300.000;1.508.000;30;18-sep-16;19-sep.-16;19-ago-16;VIKING;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1423;18-ago.-16;MASTER CONTROLS LTDA.;9.348.770;10.844.573;0;19-ago-16;26/08/16, 29/08/16 Y 30/08/16;19-ago-16;SANDPIPER;PAGADA AGOSTO;;
