CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
MEDELLIN;JGG;1288;23-jul-13;COLCERAMICA S.A.;172.900;200.564;60;22-sep-13;25-sep.-13;24-jul-13;;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1291;24-jul-13;PACKING S.A.;201.200;233.392;60;22-sep-13;7-oct.-13;24-jul-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1292;24-jul-13;SUMINISTROS DE COLOMBIA S.A.;3.477.800;4.034.248;60;22-sep-13;10-oct.-13;24-jul-13;;PAGADA OCTUBRE;;
BARRANQUILLA;JGG;1293;25-jul-13;BAYER S.A.;6.933.800;8.043.208;45;8-sep-13;5-sep.-13;25-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1296;25-jul-13;COLCERAMICA S.A.;3.166.000;3.672.560;60;24-sep-13;12-nov.-13;26-jul-13;;PAGADA NOVIEMBRE;;
CALI;APM;1297;1-ago-13;DITE S.A.;1.440.000;1.670.400;45;15-sep-13;16-sep.-13;1-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1298;1-ago-13;CINTATEX S.A.;1.298.000;1.505.680;30;31-ago-13;27-sep.-13;1-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1299;1-ago-13;DYVAL S.A.;305.100;353.916;60;30-sep-13;23-oct.-13;1-ago-13;;PAGADA OCTUBRE;;
BOGOTA;MAV;1300;1-ago-13;PHARMETIQUE S.A;590.000;684.400;30;31-ago-13;11-sep.-13;1-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JUM;1301;1-ago-13;LIPESA COLOMBIA S.A.;1.927.200;2.235.552;30;31-ago-13;30-oct.-13;1-ago-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1302;5-ago-13;ENKA DE COLOMBIA;81.500;94.540;30;5-sep-13;6-sep.-13;6-ago-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1303;5-ago-13;COLCERAMICA S.A.;1.693.800;1.964.808;60;5-oct-13;10-oct.-13;6-ago-13;;PAGADA OCTUBRE;;
CARTAGENA;LRL;1304;5-ago.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;582.500;675.700;60;7-oct-13;8-oct.-13;8-ago-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1305;5-ago-13;NUBIOLA COLOMBIA PIGMENTOS S.A.;658.000;763.280;30;5-sep-13;13-sep.-13;6-ago-13;;PAGADA SEPTIEMBRE;;
CARTAGENA;LRL;1306;5-ago.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;145.200;168.432;60;7-oct-13;8-oct.-13;8-ago-13;;PAGADA OCTUBRE;;
CALI;APM;1307;5-ago-13;COMPAÑÍA NACIONAL DE LEVADURAS S.A.;1.772.000;2.055.520;30;5-sep-13;11-sep.-13;6-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1308;5-ago-13;EUROCERAMICA S.A.;573.400;665.144;30;5-sep-13;6-sep.-13;6-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1309;5-ago-13;SUMINISTROS DE COLOMBIA S.A.;14.000;16.240;60;5-oct-13;10-oct.-13;6-ago-13;;PAGADA OCTUBRE;;
MEDELLIN;DAQ;1310;5-ago-13;PAPELSA S.A.;23.600;27.376;30;5-sep-13;13-sep.-13;6-ago-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1311;5-ago-13;COLCERAMICA S.A.;345.800;401.128;60;5-oct-13;12-nov.-13;6-ago-13;;PAGADA NOVIEMBRE;;
CALI;APM;1313;8-ago-13;NEUMATICA Y CONTROLES S.A.S.;890.000;1.032.400;30;8-sep-13;4-oct.-13;9-ago-13;;PAGADA OCTUBRE;;
BOGOTA;JGG;1314;9-ago-13;COLCERAMICA S.A.;373.000;432.680;60;9-oct-13;25-oct.-13;10-ago-13;;PAGADA OCTUBRE;;
CARTAGENA;JGG;1315;9-ago-13;CARBOQUIMICA S.A.S.;3.406.320;3.951.331;30;9-sep-13;16-sep.-13;10-ago-13;;PAGADA SEPTIEMBRE;;
